qx,qy,px_center,py_center,utm_e,utm_n,lon,lat,n_stems,agb_mg_ha
0,0,10.0,10.0,625764.0,1011579.0,-79.85539519028131,9.149488083707869,146,101.1016739537463
0,1,10.0,30.0,625764.0,1011599.0,-79.85539461206184,9.149668947714053,195,239.70584903056962
0,2,10.0,50.0,625764.0,1011619.0,-79.85539403383044,9.149849811718408,184,139.09753215373806
0,3,10.0,70.0,625764.0,1011639.0,-79.85539345558713,9.150030675720924,204,272.843646245201
0,4,10.0,90.0,625764.0,1011659.0,-79.8553928773319,9.150211539721603,208,192.31184538935173
0,5,10.0,110.0,625764.0,1011679.0,-79.85539229906475,9.150392403720446,156,588.5080425973555
0,6,10.0,130.0,625764.0,1011699.0,-79.85539172078568,9.150573267717451,193,130.79155637024903
0,7,10.0,150.0,625764.0,1011719.0,-79.8553911424947,9.15075413171262,175,191.89171957874495
0,8,10.0,170.0,625764.0,1011739.0,-79.8553905641918,9.150934995705953,232,98.17621691395439
0,9,10.0,190.0,625764.0,1011759.0,-79.85538998587697,9.151115859697448,199,332.45233402581965
0,10,10.0,210.0,625764.0,1011779.0,-79.85538940755023,9.151296723687107,211,106.1192570714859
0,11,10.0,230.0,625764.0,1011799.0,-79.85538882921159,9.151477587674929,206,108.80604623893413
0,12,10.0,250.0,625764.0,1011819.0,-79.85538825086103,9.151658451660913,285,286.4780577448739
0,13,10.0,270.0,625764.0,1011839.0,-79.85538767249854,9.151839315645061,245,201.2308349746024
0,14,10.0,290.0,625764.0,1011859.0,-79.85538709412414,9.152020179627371,159,768.9711346303512
0,15,10.0,310.0,625764.0,1011879.0,-79.85538651573782,9.152201043607846,200,137.2703432495937
0,16,10.0,330.0,625764.0,1011899.0,-79.85538593733958,9.15238190758648,116,67.20552929744738
0,17,10.0,350.0,625764.0,1011919.0,-79.85538535892942,9.15256277156328,204,232.55665759009267
0,18,10.0,370.0,625764.0,1011939.0,-79.85538478050735,9.152743635538243,167,204.7957028085817
0,19,10.0,390.0,625764.0,1011959.0,-79.85538420207337,9.15292449951137,154,211.2626858641811
0,20,10.0,410.0,625764.0,1011979.0,-79.85538362362746,9.153105363482654,166,157.4993910770576
0,21,10.0,430.0,625764.0,1011999.0,-79.85538304516963,9.153286227452107,188,167.92404560549258
0,22,10.0,450.0,625764.0,1012019.0,-79.8553824666999,9.15346709141972,209,126.55734328218118
0,23,10.0,470.0,625764.0,1012039.0,-79.85538188821823,9.153647955385495,186,273.03196850769746
0,24,10.0,490.0,625764.0,1012059.0,-79.85538130972466,9.153828819349433,225,181.43818259177934
1,0,30.0,10.0,625784.0,1011579.0,-79.85521319103164,9.14948750905538,230,585.742225969994
1,1,30.0,30.0,625784.0,1011599.0,-79.85521261272027,9.14966837305002,164,78.25236013588463
1,2,30.0,50.0,625784.0,1011619.0,-79.85521203439697,9.149849237042828,207,190.3888605086523
1,3,30.0,70.0,625784.0,1011639.0,-79.85521145606177,9.150030101033794,227,379.18636106546114
1,4,30.0,90.0,625784.0,1011659.0,-79.85521087771464,9.150210965022927,201,91.68010900249904
1,5,30.0,110.0,625784.0,1011679.0,-79.85521029935559,9.150391829010221,155,310.9750092163437
1,6,30.0,130.0,625784.0,1011699.0,-79.85520972098462,9.15057269299568,161,249.05881970904775
1,7,30.0,150.0,625784.0,1011719.0,-79.85520914260172,9.150753556979302,133,182.44214918628592
1,8,30.0,170.0,625784.0,1011739.0,-79.85520856420692,9.150934420961086,152,206.99481944582016
1,9,30.0,190.0,625784.0,1011759.0,-79.8552079858002,9.151115284941033,203,172.29694611788946
1,10,30.0,210.0,625784.0,1011779.0,-79.85520740738154,9.151296148919146,205,253.7911386292282
1,11,30.0,230.0,625784.0,1011799.0,-79.85520682895098,9.15147701289542,194,204.01467210041577
1,12,30.0,250.0,625784.0,1011819.0,-79.85520625050852,9.151657876869855,274,338.209081820166
1,13,30.0,270.0,625784.0,1011839.0,-79.85520567205411,9.151838740842459,248,158.2022130864763
1,14,30.0,290.0,625784.0,1011859.0,-79.85520509358778,9.152019604813221,199,92.92179546259055
1,15,30.0,310.0,625784.0,1011879.0,-79.85520451510956,9.152200468782148,194,283.3552750729033
1,16,30.0,330.0,625784.0,1011899.0,-79.85520393661939,9.152381332749234,210,327.68836866923124
1,17,30.0,350.0,625784.0,1011919.0,-79.85520335811732,9.152562196714488,186,149.91807747184296
1,18,30.0,370.0,625784.0,1011939.0,-79.85520277960333,9.152743060677903,140,100.69428620024227
1,19,30.0,390.0,625784.0,1011959.0,-79.8552022010774,9.152923924639481,152,105.85098931750937
1,20,30.0,410.0,625784.0,1011979.0,-79.85520162253957,9.153104788599222,135,247.8251874461086
1,21,30.0,430.0,625784.0,1011999.0,-79.85520104398984,9.153285652557123,190,299.0148304905382
1,22,30.0,450.0,625784.0,1012019.0,-79.85520046542815,9.153466516513188,196,359.35765578146516
1,23,30.0,470.0,625784.0,1012039.0,-79.85519988685456,9.153647380467417,209,153.08178681817333
1,24,30.0,490.0,625784.0,1012059.0,-79.85519930826906,9.153828244419806,263,134.79534023610358
2,0,50.0,10.0,625804.0,1011579.0,-79.85503119179387,9.149486934311573,261,127.16148661525656
2,1,50.0,30.0,625804.0,1011599.0,-79.85503061339061,9.149667798294665,192,111.09853019208602
2,2,50.0,50.0,625804.0,1011619.0,-79.85503003497541,9.149848662275922,253,161.87657671118032
2,3,50.0,70.0,625804.0,1011639.0,-79.85502945654831,9.150029526255338,232,335.4333416437784
2,4,50.0,90.0,625804.0,1011659.0,-79.85502887810928,9.150210390232923,209,146.84672157169248
2,5,50.0,110.0,625804.0,1011679.0,-79.85502829965833,9.15039125420867,187,212.10191888454398
2,6,50.0,130.0,625804.0,1011699.0,-79.85502772119547,9.15057211818258,137,990.4836145145365
2,7,50.0,150.0,625804.0,1011719.0,-79.85502714272067,9.150752982154652,142,334.2138221421327
2,8,50.0,170.0,625804.0,1011739.0,-79.85502656423397,9.150933846124886,143,376.28257366649615
2,9,50.0,190.0,625804.0,1011759.0,-79.85502598573534,9.151114710093285,218,216.7259212820996
2,10,50.0,210.0,625804.0,1011779.0,-79.85502540722477,9.151295574059846,189,229.8060968311183
2,11,50.0,230.0,625804.0,1011799.0,-79.85502482870231,9.151476438024572,210,160.1847626205103
2,12,50.0,250.0,625804.0,1011819.0,-79.85502425016792,9.151657301987461,241,240.1349951734801
2,13,50.0,270.0,625804.0,1011839.0,-79.85502367162161,9.151838165948515,261,434.3023754836839
2,14,50.0,290.0,625804.0,1011859.0,-79.85502309306337,9.152019029907727,234,273.0749744441774
2,15,50.0,310.0,625804.0,1011879.0,-79.85502251449321,9.152199893865102,208,115.69991138386186
2,16,50.0,330.0,625804.0,1011899.0,-79.85502193591114,9.15238075782064,218,114.87389600588327
2,17,50.0,350.0,625804.0,1011919.0,-79.85502135731714,9.152561621774344,241,361.66394268876263
2,18,50.0,370.0,625804.0,1011939.0,-79.85502077871122,9.15274248572621,204,113.3999832066223
2,19,50.0,390.0,625804.0,1011959.0,-79.85502020009339,9.15292334967624,231,415.5978140117287
2,20,50.0,410.0,625804.0,1011979.0,-79.85501962146363,9.15310421362443,190,277.21523090504417
2,21,50.0,430.0,625804.0,1011999.0,-79.85501904282194,9.15328507757078,179,345.74524424757044
2,22,50.0,450.0,625804.0,1012019.0,-79.85501846416834,9.153465941515298,298,246.36888835011231
2,23,50.0,470.0,625804.0,1012039.0,-79.8550178855028,9.153646805457976,259,145.47190827986697
2,24,50.0,490.0,625804.0,1012059.0,-79.85501730682536,9.153827669398817,196,262.3496391231899
3,0,70.0,10.0,625824.0,1011579.0,-79.85484919256801,9.14948635947645,205,70.86843036800833
3,1,70.0,30.0,625824.0,1011599.0,-79.85484861407286,9.14966722344799,243,244.9514318740955
3,2,70.0,50.0,625824.0,1011619.0,-79.85484803556578,9.149848087417697,200,192.62569181144363
3,3,70.0,70.0,625824.0,1011639.0,-79.85484745704677,9.150028951385565,229,126.31934910406297
3,4,70.0,90.0,625824.0,1011659.0,-79.85484687851586,9.150209815351598,177,158.51574803605058
3,5,70.0,110.0,625824.0,1011679.0,-79.854846299973,9.15039067931579,169,346.4565106081789
3,6,70.0,130.0,625824.0,1011699.0,-79.85484572141824,9.150571543278149,190,248.44306812106933
3,7,70.0,150.0,625824.0,1011719.0,-79.85484514285156,9.150752407238672,175,653.7709861172945
3,8,70.0,170.0,625824.0,1011739.0,-79.85484456427294,9.150933271197355,203,203.44011820613977
3,9,70.0,190.0,625824.0,1011759.0,-79.8548439856824,9.1511141351542,196,197.66614956518927
3,10,70.0,210.0,625824.0,1011779.0,-79.85484340707994,9.151294999109213,228,240.0337159205883
3,11,70.0,230.0,625824.0,1011799.0,-79.85484282846556,9.151475863062387,284,84.88049184135379
3,12,70.0,250.0,625824.0,1011819.0,-79.85484224983924,9.151656727013723,228,179.7791018403988
3,13,70.0,270.0,625824.0,1011839.0,-79.85484167120102,9.151837590963222,245,142.9453868879205
3,14,70.0,290.0,625824.0,1011859.0,-79.85484109255087,9.152018454910888,226,296.9418653293468
3,15,70.0,310.0,625824.0,1011879.0,-79.85484051388879,9.152199318856713,242,112.41377766447096
3,16,70.0,330.0,625824.0,1011899.0,-79.8548399352148,9.152380182800698,252,56.54003384213323
3,17,70.0,350.0,625824.0,1011919.0,-79.85483935652887,9.152561046742852,221,108.35029720334379
3,18,70.0,370.0,625824.0,1011939.0,-79.85483877783103,9.152741910683165,202,147.66667100435978
3,19,70.0,390.0,625824.0,1011959.0,-79.85483819912128,9.152922774621642,194,118.49392647396695
3,20,70.0,410.0,625824.0,1011979.0,-79.85483762039958,9.153103638558283,224,360.4992246424027
3,21,70.0,430.0,625824.0,1011999.0,-79.85483704166596,9.153284502493085,225,205.62562533010174
3,22,70.0,450.0,625824.0,1012019.0,-79.85483646292045,9.153465366426051,408,279.44099485291383
3,23,70.0,470.0,625824.0,1012039.0,-79.85483588416298,9.153646230357177,279,165.25720162010842
3,24,70.0,490.0,625824.0,1012059.0,-79.85483530539359,9.153827094286466,233,113.86892829334845
4,0,90.0,10.0,625844.0,1011579.0,-79.85466719335409,9.14948578455001,183,164.75873254207303
4,1,90.0,30.0,625844.0,1011599.0,-79.85466661476704,9.149666648509996,181,699.7419972421163
4,2,90.0,50.0,625844.0,1011619.0,-79.85466603616807,9.14984751246815,224,578.3310677405781
4,3,90.0,70.0,625844.0,1011639.0,-79.85466545755718,9.150028376424466,205,360.5317806187304
4,4,90.0,90.0,625844.0,1011659.0,-79.85466487893436,9.150209240378944,200,119.59379692443093
4,5,90.0,110.0,625844.0,1011679.0,-79.8546643002996,9.150390104331585,164,402.1084985882183
4,6,90.0,130.0,625844.0,1011699.0,-79.85466372165293,9.15057096828239,170,470.5865513907483
4,7,90.0,150.0,625844.0,1011719.0,-79.85466314299434,9.150751832231359,219,114.77014139945369
4,8,90.0,170.0,625844.0,1011739.0,-79.85466256432383,9.15093269617849,223,132.47358528933353
4,9,90.0,190.0,625844.0,1011759.0,-79.85466198564139,9.151113560123784,235,311.8354660982235
4,10,90.0,210.0,625844.0,1011779.0,-79.85466140694702,9.151294424067244,211,226.61680035069645
4,11,90.0,230.0,625844.0,1011799.0,-79.85466082824071,9.151475288008864,348,891.9458286603423
4,12,90.0,250.0,625844.0,1011819.0,-79.8546602495225,9.151656151948647,215,112.98114657316198
4,13,90.0,270.0,625844.0,1011839.0,-79.85465967079236,9.151837015886596,253,302.1861447626426
4,14,90.0,290.0,625844.0,1011859.0,-79.85465909205028,9.152017879822704,232,127.3167553151326
4,15,90.0,310.0,625844.0,1011879.0,-79.8546585132963,9.152198743756976,192,85.30379184885555
4,16,90.0,330.0,625844.0,1011899.0,-79.85465793453038,9.152379607689413,245,214.30948871215676
4,17,90.0,350.0,625844.0,1011919.0,-79.85465735575254,9.15256047162001,213,154.69580554418488
4,18,90.0,370.0,625844.0,1011939.0,-79.85465677696277,9.152741335548768,238,125.4441655443729
4,19,90.0,390.0,625844.0,1011959.0,-79.85465619816108,9.152922199475697,193,215.87834375775859
4,20,90.0,410.0,625844.0,1011979.0,-79.85465561934747,9.153103063400781,155,511.4150500866
4,21,90.0,430.0,625844.0,1011999.0,-79.85465504052192,9.153283927324031,203,197.09621408985265
4,22,90.0,450.0,625844.0,1012019.0,-79.85465446168446,9.153464791245442,217,286.9548732838992
4,23,90.0,470.0,625844.0,1012039.0,-79.85465388283507,9.153645655165016,235,217.87277855908758
4,24,90.0,490.0,625844.0,1012059.0,-79.85465330397375,9.153826519082752,255,171.47898216253216
5,0,110.0,10.0,625864.0,1011579.0,-79.85448519415209,9.14948520953225,132,255.2352209804368
5,1,110.0,30.0,625864.0,1011599.0,-79.85448461547314,9.14966607348068,180,287.22812242300324
5,2,110.0,50.0,625864.0,1011619.0,-79.8544840367823,9.14984693742728,201,605.6197645981983
5,3,110.0,70.0,625864.0,1011639.0,-79.85448345807949,9.150027801372039,216,41.529790101107345
5,4,110.0,90.0,625864.0,1011659.0,-79.85448287936478,9.150208665314965,199,175.4609680601772
5,5,110.0,110.0,625864.0,1011679.0,-79.85448230063814,9.15038952925605,212,135.4354393872858
5,6,110.0,130.0,625864.0,1011699.0,-79.85448172189956,9.150570393195302,234,349.335661674063
5,7,110.0,150.0,625864.0,1011719.0,-79.85448114314906,9.150751257132713,269,250.78775589866976
5,8,110.0,170.0,625864.0,1011739.0,-79.85448056438665,9.15093212106829,225,161.83794795410867
5,9,110.0,190.0,625864.0,1011759.0,-79.85447998561229,9.15111298500203,181,102.83818498038086
5,10,110.0,210.0,625864.0,1011779.0,-79.854479406826,9.151293848933934,235,322.95044533480046
5,11,110.0,230.0,625864.0,1011799.0,-79.85447882802781,9.151474712864,197,229.5221844065617
5,12,110.0,250.0,625864.0,1011819.0,-79.85447824921768,9.151655576792228,164,137.1753535078062
5,13,110.0,270.0,625864.0,1011839.0,-79.85447767039562,9.151836440718624,195,80.95949535098298
5,14,110.0,290.0,625864.0,1011859.0,-79.85447709156163,9.152017304643177,233,155.13621373701145
5,15,110.0,310.0,625864.0,1011879.0,-79.85447651271573,9.152198168565894,192,175.81286339431742
5,16,110.0,330.0,625864.0,1011899.0,-79.8544759338579,9.152379032486778,253,161.13590994937633
5,17,110.0,350.0,625864.0,1011919.0,-79.85447535498812,9.152559896405819,191,361.62367679739407
5,18,110.0,370.0,625864.0,1011939.0,-79.85447477610644,9.152740760323024,297,448.1223862460867
5,19,110.0,390.0,625864.0,1011959.0,-79.85447419721282,9.152921624238395,198,162.37191583566545
5,20,110.0,410.0,625864.0,1011979.0,-79.85447361830728,9.153102488151923,161,591.4018431129313
5,21,110.0,430.0,625864.0,1011999.0,-79.8544730393898,9.15328335206362,206,167.9829703416097
5,22,110.0,450.0,625864.0,1012019.0,-79.85447246046041,9.153464215973475,152,215.0971021654926
5,23,110.0,470.0,625864.0,1012039.0,-79.85447188151909,9.153645079881496,242,480.4620308073142
5,24,110.0,490.0,625864.0,1012059.0,-79.85447130256584,9.153825943787677,154,342.22063418644876
6,0,130.0,10.0,625884.0,1011579.0,-79.85430319496203,9.149484634423171,166,214.19807549012435
6,1,130.0,30.0,625884.0,1011599.0,-79.85430261619118,9.149665498360045,180,359.8755830604733
6,2,130.0,50.0,625884.0,1011619.0,-79.85430203740842,9.149846362295088,123,165.81058391491635
6,3,130.0,70.0,625884.0,1011639.0,-79.85430145861373,9.150027226228291,195,512.4972860665653
6,4,130.0,90.0,625884.0,1011659.0,-79.85430087980713,9.150208090159659,252,153.13925110683962
6,5,130.0,110.0,625884.0,1011679.0,-79.85430030098857,9.15038895408919,167,479.8124987505079
6,6,130.0,130.0,625884.0,1011699.0,-79.8542997221581,9.150569818016884,180,106.45557346658903
6,7,130.0,150.0,625884.0,1011719.0,-79.8542991433157,9.150750681942743,254,182.506556529287
6,8,130.0,170.0,625884.0,1011739.0,-79.85429856446137,9.15093154586676,188,459.14182561530424
6,9,130.0,190.0,625884.0,1011759.0,-79.85429798559512,9.151112409788944,225,343.1989288679784
6,10,130.0,210.0,625884.0,1011779.0,-79.85429740671692,9.15129327370929,193,169.20365126877007
