conglo,agb_kg_total,area_m2_total,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,year,stateProvince,agb_mg_ha,in_window
100614,1159.515098270693,770,11.73071,-71.99943,10606,2015,La Guajira,15.05863763987913,True
101933,26063.39840775124,4305,6.60019,-73.88962,10606,2015,Santander,60.542156580142255,True
102321,121683.36606090018,4305,-1.90566,-72.13444,10606,2017,Amazonas,282.65590258048826,True
103227,6351.262764316596,1477,7.6803,-72.6745,10606,2016,Norte de Santander,43.001101992664836,True
103373,105922.65435524166,4305,-1.77064,-72.13444,10606,2017,Amazonas,246.0456547160085,True
103381,27074.323632788317,861,3.89992,-73.75461,10606,2016,Meta,314.4520747129886,True
105283,4325.728746013792,1015,5.38507,-73.61959,10606,2017,Cundinamarca,42.61801720210632,True
105679,28969.84207577133,1323,7.00523,-70.51428,10606,2017,Arauca,218.97083957499115,True
106074,86945.69784829015,4305,0.92963,-70.91932,10606,2016,Vaupés,201.964454932149,True
106443,17242.3791276609,1876,4.57499,-74.96973,10606,2015,Tolima,91.91033650139073,True
107039,8873.906801582478,1477,3.76491,-67.81401,10606,2015,Guainía,60.080614770362075,True
107109,6611.5817473759,1323,6.46518,-70.24426,10606,2015,Arauca,49.9741628675427,True
107588,870.1685143591853,770,11.46068,-72.94453,10606,2015,La Guajira,11.300889796872536,True
107593,4799.70457251456,1169,10.78561,-74.02463,10606,2016,Magdalena,41.05820849028708,True
108587,24537.741439872792,3444,4.57499,-71.59439,10606,2015,Meta,71.24779744446224,True
109915,31075.93313612783,2737,4.57499,-70.51428,10606,2015,Vichada,113.5401283745993,True
111388,6998.391803193392,2737,4.30496,-75.77981,10606,2016,Valle del Cauca,25.569571805602454,True
112008,2295.364335631161,1477,11.19065,-72.94453,10606,2016,La Guajira,15.540719943338937,True
113214,94244.01358464688,4305,-1.50062,-72.6745,10606,2017,Amazonas,218.91756930231563,True
113598,13087.901050506363,2030,1.06464,-76.31986,10606,2015,Putumayo,64.47241896801164,True
113814,1495.0014367972599,616,5.38507,-75.37477,10606,2016,Caldas,24.269503844111362,True
114796,19780.597520502273,3444,4.98003,-70.91932,10606,2016,Vichada,57.43495215012275,True
114823,7728.04884364367,1568,3.35987,-71.99943,10606,2016,Meta,49.28602578854382,True
115478,5779.291420438946,2429,8.89542,-75.23975,10606,2015,Sucre,23.792883575294137,True
115814,11926.278122525682,2184,7.14025,-74.6997,10606,2016,Antioquia,54.60750056101502,True
116650,83674.45553405634,4305,-0.69054,-71.86442,10606,2015,Amazonas,194.36575036946886,True
116698,1896.947706581644,154,5.52008,-71.45938,10606,2017,Casanare,123.17842250530155,True
116882,9065.015726822889,2030,4.71,-74.96973,10606,2017,Tolima,44.65524988582703,True
120197,27875.82243546598,1722,6.46518,-71.86442,10606,2017,Arauca,161.88050194811836,True
121292,104092.03790957472,4305,0.92963,-71.32436,10606,2016,Vaupés,241.7933517063292,True
121532,12955.14984987629,2891,6.87022,-76.85992,10606,2015,Antioquia,44.81200224792905,True
121996,138465.07408275185,4305,1.60469,-78.61509,10606,2016,Nariño,321.63780274739105,True
12232,76629.55972742669,4305,-0.55552,-72.6745,10606,2015,Amazonas,178.00130017985296,True
122602,57734.62281724634,4305,8.35537,-77.12994,10606,2015,Chocó,134.11062210742472,True
122945,1453.2858142744885,770,9.7055,-74.96973,10606,2016,Bolívar,18.873841743824524,True
123085,78982.03102831374,4305,3.35987,-76.99493,10606,2017,Valle del Cauca,183.46580958957895,True
125026,27292.002749260737,2891,4.71,-76.85992,10606,2016,Chocó,94.40333016001637,True
125037,69534.10452167974,4305,0.25456,-74.56469,10606,2017,Caquetá,161.51940655442448,True
126803,6939.592633234194,1477,1.87472,-73.88962,10606,2016,Meta,46.984378017834764,True
127794,8187.392699295447,1477,4.98003,-73.61959,10606,2017,Cundinamarca,55.432584287714604,True
128790,4534.807800573797,1477,2.27976,-75.77981,10606,2016,Huila,30.702828710723068,True
128843,13289.628812846702,2184,4.30496,-72.6745,10606,2015,Meta,60.84994877677061,True
128880,76443.87397110018,4305,-2.85075,-69.83921,10606,2016,Amazonas,177.56997438118512,True
129238,18510.974634755985,2891,6.19515,-73.75461,10606,2017,Santander,64.02965975356618,True
130005,13833.578791817768,2583,6.60019,-72.40447,10606,2017,Boyacá,53.556247742229075,True
130480,15162.762624815265,2184,2.00973,-76.04984,10606,2015,Huila,69.42656879494169,True
131409,87242.05644308688,4305,-2.44571,-69.97423,10606,2016,Amazonas,202.65286049497533,True
131821,12736.220725951147,1323,2.95483,-75.37477,10606,2015,Huila,96.26773035488395,True
132793,2784.2038940695707,770,9.84052,-74.6997,10606,2015,Magdalena,36.158492130773645,True
133634,9137.266423960065,2891,11.19065,-73.07954,10606,2017,La Guajira,31.605902538775734,True
134287,2460.1909543556235,1477,9.30046,-73.75461,10606,2016,Cesar,16.656675384939902,True
134863,16014.650473357633,3444,4.57499,-74.42967,10606,2016,Cundinamarca,46.50014655446468,True
135365,32354.188042709397,3444,5.92513,-74.02463,10606,2016,Santander,93.94363543179267,True
135608,4891.502880899083,861,1.46968,-78.07504,10606,2015,Nariño,56.81188014981513,True
136204,17991.40759840992,2737,7.6803,-76.18485,10606,2017,Córdoba,65.73404310708777,True
136753,90500.98865450193,4305,1.46968,-70.6493,10606,2015,Vaupés,210.22297016144466,True
137183,1004.8354292323409,462,10.38057,-74.56469,10606,2016,Magdalena,21.749684615418637,True
137313,67464.03160733104,4305,-2.04067,-70.6493,10606,2016,Amazonas,156.71087481377708,True
137513,86608.33281066653,4305,6.33017,-71.99943,10606,2017,Arauca,201.18079630816848,True
139214,7993.890476753946,1876,7.6803,-73.07954,10606,2017,Norte de Santander,42.611356485895236,True
139604,2458.7621527296956,616,11.46068,-72.40447,10606,2015,La Guajira,39.91497001184571,True
139625,50743.91162715371,3444,7.41027,-77.26496,10606,2017,Chocó,147.3400453750108,True
139829,57099.196328533915,2583,6.19515,-71.99943,10606,2016,Casanare,221.05767064860208,True
13986,7313.620873037397,1876,4.98003,-75.6448,10606,2016,Risaralda,38.98518589039124,True
139951,58985.3601810768,4305,-2.3107,-70.37927,10606,2016,Amazonas,137.01593537996933,True
140194,8493.884230736934,861,6.60019,-74.96973,10606,2016,Antioquia,98.65138479369263,True
140723,22667.912218439076,4305,8.08534,-74.83471,10606,2016,Antioquia,52.6548483587435,True
141299,71980.75647331112,4305,-1.90566,-71.99943,10606,2017,Amazonas,167.20268634915476,True
143566,6120.83410365419,1876,1.73971,-78.48008,10606,2016,Nariño,32.62704746084323,True
143636,100337.96819127699,4305,-2.3107,-72.13444,10606,2017,Amazonas,233.073096843849,True
144695,115539.60685093731,4305,-1.3656,-72.80951,10606,2015,Amazonas,268.38468490345485,True
144935,75801.09152418213,4305,3.6299,-71.59439,10606,2015,Meta,176.07686765199105,True
145714,19731.90945662029,3598,6.73521,-73.48458,10606,2017,Santander,54.841327005615035,True
146321,35247.29078844297,4305,-0.01547,-74.29466,10606,2017,Caquetá,81.8752399266968,True
147151,27873.045845355766,2891,6.33017,-73.88962,10606,2016,Santander,96.41316445989541,True
148400,24641.559728549415,4305,1.60469,-73.88962,10606,2016,Caquetá,57.23939542055613,True
149504,22353.535146409515,4305,7.14025,-75.37477,10606,2016,Antioquia,51.92458802882582,True
149678,53512.58445594815,4305,1.19965,-71.32436,10606,2016,Vaupés,124.30333206956597,True
150299,1368.243995481626,770,12.13575,-71.45938,10606,2016,La Guajira,17.769402538722414,True
150599,231554.1625606787,4305,6.46518,-73.75461,10606,2017,Santander,537.8726191885684,True
15198,70010.88583349546,4305,7.00523,-76.58989,10606,2017,Antioquia,162.62691250521593,True
152014,34384.78509375029,4305,0.25456,-70.91932,10606,2015,Vaupés,79.87174237804945,True
15226,90303.6603542148,4305,7.41027,-74.6997,10606,2017,Antioquia,209.7646001259345,True
152785,5648.682870336229,1323,4.98003,-70.24426,10606,2017,Vichada,42.696015648799914,True
152999,90442.73237080283,4305,3.49488,-76.58989,10606,2016,Valle del Cauca,210.08764778351411,True
153132,19207.963246755447,3598,6.19515,-74.96973,10606,2016,Antioquia,53.38511185868662,True
153257,54785.7029278416,4305,-1.77064,-72.53948,10606,2017,Amazonas,127.26063397872613,True
155721,1777.9875307459943,770,11.32567,-74.02463,10606,2015,Magdalena,23.09074715254538,True
15576,11512.894318205708,2184,6.46518,-74.6997,10606,2015,Antioquia,52.714717574201956,True
15580,64728.34260384093,3136,7.6803,-74.6997,10606,2017,Antioquia,206.40415371122745,True
155868,4808.562125902207,1477,10.78561,-74.02463,10606,2017,Magdalena,32.556277088031194,True
156583,363.5444348358079,616,4.02552,-67.70515,10606,2015,Guainía,5.901695370711167,True
156602,3222.081186503705,861,7.41027,-76.99493,10606,2015,Chocó,37.42254572013594,True
157445,21745.45153885401,3598,3.35987,-72.53948,10606,2015,Meta,60.43760850153977,True
157910,483.75857379908587,462,11.46068,-72.80951,10606,2017,La Guajira,10.470964800846016,True
158391,39772.88016350075,4305,8.35537,-74.56469,10606,2017,Bolívar,92.38764265621543,True
