plotID,siteID,eventID,year,plotType,totalSampledAreaTrees,n_tree_stems,n_mapped,frac_stems_unmapped,coverage_ok,agb_mg_ha
ABBY_001,ABBY,vst_ABBY_2016,2016,distributed,400.0,22,22,0.0,True,440.3783488935308
ABBY_001,ABBY,vst_ABBY_2019,2019,distributed,400.0,20,20,0.0,True,452.95340852080636
ABBY_001,ABBY,vst_ABBY_2024,2024,distributed,400.0,18,18,0.0,True,349.98900115897305
ABBY_002,ABBY,vst_ABBY_2016,2016,distributed,400.0,6,6,0.0,True,0.0618572545590949
ABBY_002,ABBY,vst_ABBY_2019,2019,distributed,400.0,12,12,0.0,True,1.8206548975948529
ABBY_002,ABBY,vst_ABBY_2024,2024,distributed,400.0,25,25,0.0,True,13.603010998423862
ABBY_003,ABBY,vst_ABBY_2016,2016,distributed,400.0,32,32,0.0,True,21.00830668173877
ABBY_003,ABBY,vst_ABBY_2024,2024,distributed,400.0,21,21,0.0,True,97.70039353183863
ABBY_004,ABBY,vst_ABBY_2016,2016,distributed,400.0,5,5,0.0,True,0.032171012501564025
ABBY_004,ABBY,vst_ABBY_2019,2019,distributed,400.0,27,27,0.0,True,1.9915502981223077
ABBY_004,ABBY,vst_ABBY_2024,2024,distributed,400.0,31,31,0.0,True,19.101280404152316
ABBY_005,ABBY,vst_ABBY_2016,2016,distributed,400.0,7,7,0.0,True,0.066673765942121
ABBY_005,ABBY,vst_ABBY_2019,2019,distributed,400.0,84,84,0.0,True,3.598928943876945
ABBY_006,ABBY,vst_ABBY_2016,2016,distributed,400.0,39,39,0.0,True,639.3117819556929
ABBY_006,ABBY,vst_ABBY_2019,2019,distributed,400.0,34,34,0.0,True,593.4514267706234
ABBY_006,ABBY,vst_ABBY_2024,2024,distributed,400.0,36,36,0.0,True,728.0774560577437
ABBY_007,ABBY,vst_ABBY_2016,2016,distributed,400.0,11,11,0.0,True,328.28803806525
ABBY_007,ABBY,vst_ABBY_2019,2019,distributed,400.0,2,2,0.0,True,0.01254286399530687
ABBY_007,ABBY,vst_ABBY_2024,2024,distributed,400.0,22,22,0.0,True,0.6326144201053585
ABBY_008,ABBY,vst_ABBY_2016,2016,distributed,400.0,17,17,0.0,True,583.476381882099
ABBY_008,ABBY,vst_ABBY_2019,2019,distributed,400.0,16,16,0.0,True,470.01743907240524
ABBY_008,ABBY,vst_ABBY_2024,2024,distributed,400.0,17,17,0.0,True,724.6572036501161
ABBY_009,ABBY,vst_ABBY_2016,2016,distributed,400.0,20,20,0.0,True,0.10160142446151522
ABBY_009,ABBY,vst_ABBY_2019,2019,distributed,400.0,87,87,0.0,True,6.39400672474645
ABBY_009,ABBY,vst_ABBY_2024,2024,distributed,400.0,98,98,0.0,True,48.101413624284596
ABBY_010,ABBY,vst_ABBY_2016,2016,distributed,400.0,18,18,0.0,True,379.35317240811094
ABBY_010,ABBY,vst_ABBY_2019,2019,distributed,400.0,17,17,0.0,True,370.5048166838481
ABBY_010,ABBY,vst_ABBY_2024,2024,distributed,400.0,18,18,0.0,True,437.5836287928329
ABBY_011,ABBY,vst_ABBY_2016,2016,distributed,400.0,1,1,0.0,True,0.15001077631354212
ABBY_011,ABBY,vst_ABBY_2019,2019,distributed,400.0,14,14,0.0,True,0.3467766576264854
ABBY_011,ABBY,vst_ABBY_2024,2024,distributed,400.0,17,17,0.0,True,3.246423785329162
ABBY_012,ABBY,vst_ABBY_2016,2016,distributed,400.0,12,12,0.0,True,0.09784218373943292
ABBY_012,ABBY,vst_ABBY_2019,2019,distributed,400.0,20,20,0.0,True,2.1635996685685948
ABBY_013,ABBY,vst_ABBY_2016,2016,distributed,400.0,3,3,0.0,True,0.016543572683111733
ABBY_013,ABBY,vst_ABBY_2019,2019,distributed,400.0,34,34,0.0,True,1.2412187218136546
